Course Number,Course Name,Credit,Grade
LR485,SURVEY OF RUSSIAN LITERATURE I,3,C+
LW475,ADV CONSTITUTIONAL LAW SEM,3,C-
ZH325,TOPICS IN REGIONAL HISTORY,3,A-
SE450,APPLIED SYS DSGN/DECISN MAKING,3,F
HI108L,RGNL STUD WORLD HIST - L. AMER,3,C+
EN364,DRAMA,3,C
CH101,GENERAL CHEMISTRY I,4,D
EN340,CONTEMPORARY LITERATURE,3,B-
MD202,3RD CLASS MILITARY PERF II,0,C+
EE360,DIGITAL LOGIC W/ EMBEDDED SYS,3.5,F
LC475,CHINESE RDG/WRTG THRU MEDIA,3,D
PH489A,ADV INDIV STUDY IN PHYSICS,3,C
PE228,MODERN ARMY COMBATIVES L1 CERT,0.5,B-
EV490,ENVIRON ENG DESIGN,3,C+
EE489A,ADV IND STUDY IN ELECT ENGR,3,A+
MA367,MATH FOR THE SOCIAL SCIENCES,3,F
PL100,GENERAL PSYCHOLOGY FOR LEADERS,3,A+
SS480,PUBLIC POLICYMAKING PROCESS,3,A-
RS102,READING EFFICIENCY,0,B
SE350,SYSTEMS MODELING AND DESIGN,3,B
EV203,PHYSICAL GEOGRAPHY,3,B
CE389,INDEPENDENT STUDY IN CE (3CR),3,B
HI108R,RGNL STUDY WORLD HIST - RUSSIA,3,B+
LW310,INTRO TO LEGAL METHOD,3,C
CE493,CIV ENG CAPSTONE DESIGN I,3.5,A-
LN495,SEM ABROAD: ADV LANG & CULT V,3,C
LA485,ARABIC LITERATURE I,3,A+
LZ475,PERSIAN RDG/WRTG THRU MEDIA,3,C+
HI108U,RGNL STUDY WORLD HIST - EUROPE,3,F
CH290,INTRODUCTION TO RESEARCH II,1,B-
CE483,DSN CONC AND MASON STRUCTURES,3.5,C
HI158A,ADV REG ST WORLD HIST - AFRICA,3,A-
EE300,FUNDAMENTALS OF DIGITAL LOGIC,3,B-
MA461,GRAPH THEORY AND NETWORKS,3,A
MA371,LINEAR ALGEBRA,3,D
CE350,INFRASTRUCTURE ENGINEERING,3,A-
EM402,ENGINEERING MANAGEMENT DSN I,4,A-
SS357,ADV INTERNATIONAL RELATIONS,3,D
SS376,AMERICAN POLITICAL DEVELOPMENT,3,C-
XE442,ALTERNATIVE ENERGY ENGINEERING,3,A+
EM420,PRODUCTION OPERATIONS MGMT,3,A-
IT493,IT INDEPENDENT STUDY,3,A-
CH275,BIOLOGY,4,C
